CourseId,CourseSection,CourseName,Location,StartDate,EndDate,Start_Time,End_Time,DurationMinutes,Class_Days,Description
PSY2021,A,Child Development,ADMIN 209,8/29/2022,12/16/2022,10:30:00 AM,12:00:00 PM,90,MTh,PSY2021A: Child Development
PSY2081,A,Cognitive Psychology,ADMIN 015,8/29/2022,12/16/2022,1:00:00 PM,2:30:00 PM,90,MTh,PSY2081A: Cognitive Psychology
PSY3041,A,Psychology of Emotion,ADMIN AUDIT,8/29/2022,12/16/2022,10:30:00 AM,12:00:00 PM,90,MTh,PSY3041A: Psychology of Emotion
PSY3061,A,Diversity Psychology,ADMIN 209,8/29/2022,12/16/2022,1:00:00 PM,2:30:00 PM,90,TuF,PSY3061A: Diversity Psychology
PSY3071,A,Writing in Psychology,ADMIN 209,8/29/2022,12/16/2022,2:45:00 PM,4:15:00 PM,90,MTh,PSY3071A: Writing in Psychology
REL3041,A,ST: Religion & Sexuality,ADMIN 013,8/29/2022,12/16/2022,1:00:00 PM,2:30:00 PM,90,MTh,REL3041A: ST: Religion & Sexuality
SOC3011,A,Civic Engagement,ADMIN 206,8/29/2022,12/16/2022,8:30:00 AM,10:00:00 AM,90,MTh,SOC3011A: Civic Engagement
THE1011,A,Acting I,FAB 143,8/29/2022,12/16/2022,1:00:00 PM,2:30:00 PM,90,MTh,THE1011A: Acting I
THE1013,A,ST: Spoken Word,FAB 143,8/29/2022,12/16/2022,1:00:00 PM,2:30:00 PM,90,TuF,THE1013A: ST: Spoken Word
THE2014,A,ST: Stage to Screen,FAB 143,8/29/2022,12/16/2022,10:30:00 AM,12:00:00 PM,90,TuF,THE2014A: ST: Stage to Screen
THE2017,A,SpT:Acting for Media,LEWIS 104,8/29/2022,12/16/2022,1:00:00 PM,2:30:00 PM,90,TuF,THE2017A: SpT:Acting for Media
VID2011,A,Video I,FAB 412,8/29/2022,12/16/2022,2:45:00 PM,4:15:00 PM,90,TuF,VID2011A: Video I
WIL0111,B,Wilson Small Group Instruction I,ADMIN 022B,8/29/2022,12/16/2022,2:00:00 PM,3:00:00 PM,60,TTH,WIL0111B: Wilson Small Group Instruction I
WIL0111,C,Wilson Small Group Instruction I,ADMIN 022B,8/29/2022,12/16/2022,3:00:00 PM,4:00:00 PM,60,TTH,WIL0111C: Wilson Small Group Instruction I
WIL0111,D,Wilson Small Group Instruction I,ADMIN 022B,8/29/2022,12/16/2022,10:00:00 AM,11:00:00 AM,60,MW,WIL0111D: Wilson Small Group Instruction I
WIL0111,E,Wilson Small Group Instruction I,ADMIN 022B,8/29/2022,12/16/2022,11:00:00 AM,12:00:00 PM,60,MW,WIL0111E: Wilson Small Group Instruction I
WRT0111,A,Fundamentals of Writing,LEWIS 202,8/29/2022,12/16/2022,2:45:00 PM,3:45:00 PM,60,MWF,WRT0111A: Fundamentals of Writing
WRT0911,B,Practical Writing,LEWIS 202,8/29/2022,12/16/2022,10:30:00 AM,11:30:00 AM,60,MWF,WRT0911B: Practical Writing
WRT0911,C,Practical Writing,LEWIS 102,8/29/2022,12/16/2022,10:30:00 AM,11:30:00 AM,60,MWF,WRT0911C: Practical Writing
WRT0911,D,Practical Writing,LEWIS 203,8/29/2022,12/16/2022,8:30:00 AM,9:30:00 AM,60,MWF,WRT0911D: Practical Writing
WRT1011,A,Composition and Rhetoric,LEWIS 204,8/29/2022,12/16/2022,2:45:00 PM,3:45:00 PM,60,MWF,WRT1011A: Composition and Rhetoric
WRT1011,B,Composition and Rhetoric,LEWIS 204,8/29/2022,12/16/2022,1:00:00 PM,2:00:00 PM,60,MWF,WRT1011B: Composition and Rhetoric
WRT1011,C,Composition and Rhetoric,LEWIS 204,8/29/2022,12/16/2022,10:30:00 AM,11:30:00 AM,60,MWF,WRT1011C: Composition and Rhetoric
WRT1011,D,Composition and Rhetoric,ADMIN 014,8/29/2022,12/16/2022,10:30:00 AM,12:00:00 PM,90,WF,WRT1011D: Composition and Rhetoric
WRT1011,E,Composition and Rhetoric,ADMIN 014,8/29/2022,12/16/2022,8:30:00 AM,10:00:00 AM,90,WF,WRT1011E: Composition and Rhetoric
WRT1011,F,Composition and Rhetoric,STEM 013,8/29/2022,12/16/2022,8:30:00 AM,9:30:00 AM,60,MWF,WRT1011F: Composition and Rhetoric
WRT1011,G,Composition and Rhetoric,STEM 013,8/29/2022,12/16/2022,10:30:00 AM,11:30:00 AM,60,MWF,WRT1011G: Composition and Rhetoric
WRT1011,H,Composition and Rhetoric,STEM 013,8/29/2022,12/16/2022,2:45:00 PM,3:45:00 PM,60,MWF,WRT1011H: Composition and Rhetoric
WRT1011,I,Composition and Rhetoric,LEWIS 003,8/29/2022,12/16/2022,10:30:00 AM,12:00:00 PM,90,TuF,WRT1011I: Composition and Rhetoric
WRT1011,J,Composition and Rhetoric,LEWIS 202,8/29/2022,12/16/2022,8:30:00 AM,9:30:00 AM,60,MWF,WRT1011J: Composition and Rhetoric
WRT1011,K,Composition and Rhetoric,LEWIS 104,8/29/2022,12/16/2022,10:30:00 AM,11:30:00 AM,60,MWF,WRT1011K: Composition and Rhetoric
WRT1011,L,Composition and Rhetoric,LEWIS 202,8/29/2022,12/16/2022,1:00:00 PM,2:00:00 PM,60,MWF,WRT1011L: Composition and Rhetoric
WRT1012,A,Research and Analysis,ADMIN 016,8/29/2022,12/16/2022,10:30:00 AM,12:00:00 PM,90,MTh,WRT1012A: Research and Analysis
WRT1012,B,Research and Analysis,ADMIN 016,8/29/2022,12/16/2022,2:45:00 PM,4:15:00 PM,90,MTh,WRT1012B: Research and Analysis
WRT1012,C,Research and Analysis,ADMIN 209,8/29/2022,12/16/2022,2:45:00 PM,4:15:00 PM,90,TuF,WRT1012C: Research and Analysis
WRT1012,D,Research and Analysis,ADMIN 023,8/29/2022,12/16/2022,8:30:00 AM,10:00:00 AM,90,TuF,WRT1012D: Research and Analysis
WRT1012,E,Research and Analysis,LEWIS 104,8/29/2022,12/16/2022,2:45:00 PM,3:45:00 PM,60,MWF,WRT1012E: Research and Analysis
WRT3011,A,Advanced Writing,LEWIS 102,8/29/2022,12/16/2022,2:45:00 PM,4:15:00 PM,90,MTh,WRT3011A: Advanced Writing
